ID,RA,DEC,g_auto,e_g_auto,r_auto,e_r_auto,radius,ab_ratio,i_auto,e_i_auto,PROB_GAL,zml,s2n_DET_auto
DR4_3_SPLUS-s21s31_0026470,331.9951043823849,-26.92953033567031,13.150217056274414,0.12738244235515594,12.839520454406738,1.0153008699417114,0.0008293801220133901,2.642824649810791,12.398383140563965,0.08588892966508865,0.94,0.020416665822267532,3.224348545074463
DR4_3_SPLUS-s21s31_0026897,331.95436371351667,-26.930359426508335,17.726299285888672,0.020742757245898247,16.820758819580078,0.01055423729121685,0.0008253215928561985,1.5423352718353271,16.411121368408203,0.010437722317874432,0.99,0.08675000071525574,150.8173828125
DR4_3_SPLUS-s21s31_0027415,331.76776347869776,-26.913420839331412,17.95183563232422,0.028081415221095085,17.069822311401367,0.014477658085525036,0.0009553082636557519,1.9763598442077637,16.587106704711914,0.013633525930345058,1.0,0.085916668176651,111.5459213256836
DR4_3_SPLUS-s21s31_0027417,331.07312743890935,-26.913675986945766,18.784133911132812,0.05408526211977005,18.338897705078125,0.04000527039170265,0.0007296583498828113,2.153317451477051,17.994609832763672,0.04362046718597412,1.0,0.05141666531562805,41.09168243408203
DR4_3_SPLUS-s21s31_0027530,331.932974987107,-26.908168622003895,18.183658599853516,0.02099914848804474,17.416397094726562,0.012125476263463497,0.0004250272468198091,1.060443639755249,17.075138092041016,0.01259167306125164,0.91,0.049666665494441986,130.78294372558594
DR4_3_SPLUS-s21s31_0027742,331.62571869062634,-26.9107854184918,17.598785400390625,0.018036628141999245,16.833301544189453,0.010328787378966808,0.0011816986370831728,3.2446389198303223,16.410009384155273,0.010149531997740269,0.99,0.06208333373069763,158.76202392578125
DR4_3_SPLUS-s21s31_0027875,331.5188872502791,-26.903716210986744,18.308454513549805,0.03901427984237671,17.53022575378418,0.021785831078886986,0.0006223530508577824,1.1003204584121704,17.11497688293457,0.021945007145404816,1.0,0.06158333271741867,72.84334564208984
DR4_3_SPLUS-s21s31_0028160,330.4874737354218,-26.893108858765626,18.75313949584961,0.05423520505428314,18.178760528564453,0.03608580306172371,0.0007518174825236201,1.7136818170547485,17.90091896057129,0.04252081736922264,1.0,0.0534166656434536,42.48421096801758
DR4_3_SPLUS-s21s31_0028871,331.5403957647743,-26.900267727729318,15.982280731201172,0.008402601815760136,15.111617088317871,0.004404725041240454,0.0013094766763970256,1.0779019594192505,14.664135932922363,0.004215153865516186,1.0,0.06258333474397659,368.6762390136719
DR4_3_SPLUS-s21s31_0029047,331.52746010334147,-26.90286182483829,15.747947692871094,0.009167089127004147,14.877495765686035,0.0047606127336621284,0.0018472782103344798,1.1918877363204956,14.471415519714355,0.004782011266797781,0.98,0.061916667968034744,333.14404296875
DR4_3_SPLUS-s21s31_0029087,331.4484873813035,-26.891150364460174,16.04273223876953,0.007638612296432257,15.327010154724121,0.004557870794087648,0.0014729960821568966,1.8818004131317139,14.987324714660645,0.004759302828460932,1.0,0.03125,352.75067138671875
DR4_3_SPLUS-s21s31_0029358,331.9389778818006,-26.86525404717304,18.3199462890625,0.02952098660171032,17.843339920043945,0.021703215315937996,0.0005891492473892868,1.2961487770080566,17.69148063659668,0.02738766185939312,1.0,0.050833333283662796,72.41218566894531
