,recno,HIPASS,RAJ2000,DEJ2000,TType,Dist,r_Dist,OMatch,VelHI,Spk,Sint,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,f_W3mag,e_W3mag,W4mag,e_W4mag,f_W4mag,R1iso,R2iso,R3iso,R4iso,ba,PA,W1-W2,e_W1-W2,W2-W3,e_W2-W3,W1-W2c,W2-W3c,logLW1,e_logLW1,logLW2,e_logLW2,logLW3,e_logLW3,logLW4,e_logLW4,logLW1in,e_logLW1in,W1flux,W2flux,w3PaH,w4dust,logM*,e_logM*,logMHI,e_logMHI,logSFR,e_logSFR,logSFE,e_logSFE,T16
2456,2094,J1344-30,206.18245,-30.05896,10.0,70.53,1,1,4592.1,0.0455,2.1,13.01,0.02,12.9,0.05,9.26,10.0,0.1,7.12,0.14,10.0,32.14,,,,0.767,122.6,0.1,0.04,3.31,0.07,0.1,3.48,8.404,0.011,8.049,0.021,8.24,0.04,8.4,0.06,9.76,0.02,1.83,1.11,4.35,12.26,9.34,0.15,9.38,0.16,-0.52,0.06,-9.9,0.17,0
2457,2072,J1337-29,204.25296,-29.86598,5.0,4.98,0,1,519.1,7.3411,1641.1,4.24,0.01,4.12,0.02,0.32,10.0,0.01,-1.87,0.01,10.0,559.78,559.78,559.78,559.78,0.955,161.4,0.12,0.02,3.8,0.02,0.12,3.82,9.623,0.01,9.274,0.012,9.61,0.01,9.65,0.01,10.98,0.01,6057.2,3724.69,20447.46,43447.71,10.51,0.1,9.98,0.01,0.56,0.08,-9.42,0.08,1
2458,2068,J1336-29,204.13129,-29.23509,10.0,12.26,1,1,569.8,0.046,1.2,12.51,0.02,12.36,0.04,12.46,0.0,0.24,,,,50.1,32.96,7.9,12.0,0.576,5.4,0.15,0.04,-0.1,0.24,0.15,-0.1,7.101,0.012,6.763,0.02,,,,,8.46,0.02,3.01,1.89,,,7.92,0.15,7.63,0.21,,,,,0
2459,2061,J1334-29,203.7196,-29.00216,9.0,36.22,1,1,2230.7,0.0381,2.8,13.12,0.02,13.04,0.04,11.57,0.0,0.12,9.32,0.33,0.0,25.79,,,,0.829,98.5,0.09,0.04,1.47,0.13,0.08,1.48,7.79,0.011,7.426,0.019,6.63,0.08,6.86,0.13,9.15,0.01,1.68,1.0,0.4,1.35,8.77,0.14,8.93,0.13,-1.79,0.08,-10.73,0.16,0
2460,2128,J1354-29,208.73125,-29.13763,3.0,42.88,1,1,2706.6,0.0532,6.0,12.11,0.01,12.21,0.04,10.01,10.0,0.14,7.9,0.36,0.0,38.45,,,,0.863,24.6,-0.1,0.03,2.12,0.13,-0.1,2.31,8.338,0.011,7.899,0.017,7.54,0.06,,,9.7,0.01,4.24,2.12,2.36,,9.65,0.13,9.41,0.09,-1.07,0.07,-10.48,0.11,0
2461,2151,J1403-27,210.89438,-27.27963,,22.81,1,1,1326.1,0.1187,11.9,12.89,0.02,12.76,0.04,10.12,10.0,0.12,7.57,0.12,10.0,23.69,20.15,9.54,16.37,0.872,27.1,0.13,0.03,1.39,0.1,0.13,2.65,7.486,0.011,7.142,0.017,6.97,0.05,7.21,0.05,8.85,0.01,2.11,1.31,2.23,7.52,8.35,0.13,9.16,0.06,-1.52,0.06,-10.68,0.09,0
2462,1961,J1312-32,198.23199,-32.69115,6.0,38.35,1,1,2369.0,0.1238,27.1,9.9,0.01,9.82,0.02,6.73,10.0,0.03,4.82,0.04,10.0,118.42,,,,0.279,152.1,0.07,0.02,2.98,0.02,0.07,3.06,9.131,0.01,8.763,0.012,8.77,0.02,8.75,0.02,10.49,0.01,32.92,19.36,50.08,92.35,10.14,0.1,9.97,0.04,-0.1,0.06,-10.07,0.08,0
2463,1906,J1302-32,195.69022,-32.67852,4.0,74.71,1,1,4850.9,0.0569,4.3,10.8,0.01,10.74,0.02,7.48,10.0,0.02,5.42,0.04,10.0,40.17,,,,0.864,57.1,0.06,0.02,3.25,0.02,0.06,3.28,9.336,0.01,8.964,0.012,9.07,0.01,9.1,0.02,10.69,0.01,13.9,8.11,26.21,55.43,10.37,0.1,9.74,0.11,0.13,0.07,-9.61,0.13,0
2464,1896,J1301-32,195.33501,-32.40281,5.0,142.4,1,1,9404.1,0.0553,6.3,10.62,0.01,10.53,0.02,7.04,10.0,0.03,5.19,0.05,10.0,42.39,42.39,42.39,42.39,0.838,51.9,0.09,0.02,3.39,0.02,0.09,3.47,9.946,0.01,9.587,0.012,9.78,0.02,9.7,0.02,11.31,0.01,15.61,9.37,36.47,60.73,10.9,0.1,10.47,0.09,0.69,0.08,-9.78,0.12,0
2465,1936,J1308-31,197.0777,-31.0677,5.0,70.7,1,2,4578.2,0.0454,4.3,13.35,0.02,13.32,0.06,11.55,10.0,0.16,9.96,0.54,0.0,30.5,,,,0.806,171.0,0.03,0.06,1.65,0.14,0.01,1.8,8.272,0.012,7.881,0.026,7.27,0.08,,,9.63,0.02,1.34,0.75,0.46,,9.43,0.18,9.7,0.11,-1.29,0.08,-10.99,0.13,0
