,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
0,1,1,a,5.874666666666666,25.448305555555553,37.6,26.9,Sc,7,m,10237,39,0,15.02,0,55.0,13.33,2,87.7,1.29,14.87,14.43,0.2,-20.6,U248a
1,2,1,b,5.8698749999999995,25.44219444444444,42.8,10.7,Im,12,m,10266,40,0,15.68,0,32.5,13.85,2,65.7,1.36,15.96,15.04,0.1,-20.0,U248b
2,3,1,c,5.822041666666666,25.446555555555552,10.7,10.7,E0,0,,10056,34,0,10.21,0,23.8,14.15,0,51.6,1.69,15.89,15.57,0.1,-19.5,
3,4,1,d,5.840249999999999,25.448166666666662,8.5,4.8,S0,1,,10120,47,0,17.4,0,12.0,15.77,0,13.9,1.6,16.92,16.5,0.2,-18.5,
4,5,2,a,7.203541666666665,8.19222222222222,40.5,19.7,SBd,9,m,4326,30,0,14.02,0,60.7,13.1,0,67.5,0.88,13.84,13.35,0.1,,U312
5,6,2,b,7.182249999999999,8.199166666666665,21.2,18.4,cI,13,m,4366,34,0,14.62,0,37.6,13.4,0,50.5,1.14,14.63,14.39,0.1,,Mk552 MCG1-2-18
6,7,2,c,7.226333333333332,8.124694444444444,32.9,18.1,SBc,7,m,4235,34,0,15.14,0,48.9,13.97,0,55.4,1.1,14.6,14.15,0.1,,U314
7,8,2,d,7.263791666666665,8.114749999999999,13.2,12.0,SBb,5,,21340,85,0,16.74,0,24.7,15.12,0,28.6,1.54,16.0,15.72,0.2,,U315
8,9,3,a,7.919583333333332,-7.840388888888888,26.6,8.0,Sc,7,,7302,51,0,15.6,0,30.8,14.11,0,39.3,1.41,15.36,14.72,0.1,,
9,10,3,b,7.969208333333333,-7.8752499999999985,15.4,9.6,SB0a,2,,7860,45,0,15.76,0,24.4,14.0,0,31.7,1.71,15.64,15.28,0.1,,
10,11,3,c,7.948124999999999,-7.875777777777777,23.7,6.4,Sd,9,,11545,68,1,16.75,0,19.8,15.27,0,26.2,1.37,16.54,15.87,0.1,,
11,12,3,d,7.905541666666665,-7.877749999999999,13.1,9.7,S0,1,,7804,30,0,15.98,0,20.1,14.15,0,34.7,1.69,15.91,15.64,0.1,,
12,13,4,a,7.932041666666666,-21.714138888888886,41.1,33.5,Sc,7,m,8097,36,0,13.8,0,67.5,12.71,0,75.2,1.01,13.78,13.5,0.1,-21.1,
13,14,4,b,7.933999999999999,-21.745777777777775,24.2,9.1,Sc,7,,7065,44,0,15.7,0,30.9,14.62,0,34.0,1.03,15.52,14.97,0.2,-19.3,
14,15,4,c,7.940083333333332,-21.693388888888887,12.8,10.0,E2,0,m,8863,74,1,16.11,0,24.4,14.45,0,37.3,1.51,15.9,15.69,0.1,-19.1,
15,16,4,d,7.944874999999999,-21.753194444444443,12.7,7.4,E4,0,m,8215,37,0,16.12,0,20.5,14.86,0,26.4,1.19,15.68,15.47,0.1,-19.1,
16,17,4,e,7.909874999999999,-21.711416666666665,12.9,9.4,Sab,4,,18480,180,1,16.61,0,19.0,15.26,0,21.3,1.31,16.37,16.05,0.1,,
17,18,5,a,9.081708333333331,6.7879444444444434,24.4,24.3,Sab,4,m,12147,34,0,15.08,1,43.5,13.39,1,62.4,1.58,14.79,14.55,0.2,-20.7,N190N U397a
18,19,5,b,9.08175,6.781416666666666,17.9,17.5,E0,0,m,12221,29,0,15.99,1,28.2,13.7,1,49.2,2.03,15.76,15.52,0.2,-19.9,N1905 U397b
19,20,5,c,9.073833333333333,6.797999999999999,15.1,13.4,S0,1,,12489,47,0,16.72,1,21.7,13.77,1,39.1,1.72,16.52,16.26,0.2,-19.2,
20,21,5,d,9.082916666666666,6.773305555555555,12.3,5.0,Sc,7,,8215,37,1,17.3,1,17.2,15.49,1,27.4,1.68,17.27,16.72,0.2,-18.7,
21,22,6,a,9.173749999999998,-8.668805555555554,14.3,7.3,S0a,2,,11669,52,1,15.87,1,25.2,13.94,1,44.2,1.62,15.69,15.27,0.2,-20.1,
22,23,6,b,9.15875,-8.671833333333332,21.2,8.7,Sab,4,m,11377,61,0,16.16,1,29.5,14.18,1,48.4,1.74,16.03,15.5,0.2,-19.8,
23,24,6,c,9.162416666666665,-8.67475,21.9,11.0,E5,0,,10967,61,0,15.97,1,27.1,14.09,1,44.7,1.64,15.59,15.37,0.2,-19.9,
24,25,6,d,9.147916666666665,-8.675749999999999,9.0,4.8,Sbc,6,,11434,62,0,17.89,1,14.0,16.45,1,20.5,1.39,17.63,17.19,0.2,-18.1,
25,26,7,a,9.165249999999999,0.5890277777777777,56.8,27.6,Sb,5,m,4210,20,0,13.5,0,80.2,11.97,0,96.3,1.48,13.46,12.98,0.1,-20.1,N192 U401
26,27,7,b,9.183874999999999,0.6381388888888888,40.1,29.2,SB0,1,,4238,25,0,13.94,0,69.8,12.4,0,92.2,1.44,14.02,13.74,0.2,-19.4,N196 U405
27,28,7,c,9.254791666666666,0.5850833333333333,52.3,42.6,SBc,7,m,4366,36,0,13.65,0,91.0,12.41,0,102.7,1.19,12.9,12.6,0.7,-20.6,N201 U419
28,29,7,d,9.187833333333332,0.6168888888888888,38.3,27.9,SBc,7,,4116,38,0,14.85,0,59.3,13.39,0,83.8,1.12,15.11,14.77,0.2,-18.3,N197 U406
29,30,8,a,11.726999999999999,23.305555555555554,31.5,16.6,E5,0,m,16014,51,0,15.5,1,13.7,13.23,1,88.6,1.76,14.8,14.5,0.5,-21.5,
30,31,8,b,11.731291666666666,23.31894444444444,14.7,8.8,S0,1,m,15966,38,0,16.41,1,24.3,14.44,1,36.0,1.82,15.79,15.41,0.2,-20.6,
31,32,8,c,11.733833333333331,23.311638888888886,13.9,11.8,S0,1,,17087,51,0,16.31,1,25.9,14.28,1,43.3,1.81,15.65,15.33,0.2,-20.9,
32,33,8,d,11.73745833333333,23.300749999999997,15.6,13.1,S0,1,,16341,39,0,16.41,1,26.0,14.27,1,50.5,1.76,15.74,15.42,0.2,-20.7,
33,34,9,a,12.973208333333332,-23.823666666666664,23.6,18.7,E2,0,,20155,125,0,15.59,1,38.6,13.55,1,70.6,1.6,15.1,14.89,0.2,,
34,35,9,b,12.954791666666665,-23.806416666666664,11.1,7.9,S0,1,,9406,150,1,15.95,1,32.6,15.17,1,23.8,1.11,15.8,15.5,0.5,,
35,36,9,c,12.968791666666664,-23.83930555555555,9.0,7.9,Sc,7,,10300,192,0,16.96,0,16.2,15.32,0,27.4,1.34,16.81,16.56,0.2,,
36,37,9,d,12.958583333333332,-23.82358333333333,13.3,12.5,SBcd,8,,17726,193,0,16.69,0,16.9,15.38,0,21.1,1.09,16.72,16.49,0.2,,
37,38,10,a,20.879291666666663,34.44258333333333,104.8,35.9,SBb,5,m,5148,19,0,13.49,0,93.6,11.81,0,123.9,1.56,13.36,12.62,0.1,,N536 U1013
38,39,10,b,20.708541666666665,34.45308333333333,51.2,48.0,E1,0,m,4862,22,0,13.35,0,97.3,11.68,0,127.3,1.57,13.07,12.7,0.1,,N529 U995
39,40,10,c,20.868249999999996,34.494472222222214,55.4,12.9,Sc,7,m,4660,32,0,14.98,0,49.2,13.23,0,63.6,1.66,14.94,14.07,0.1,,N531 U1012
40,41,10,d,20.91845833333333,34.41569444444444,29.2,7.3,Scd,8,,4620,40,0,15.82,0,28.4,14.23,0,35.8,1.52,15.54,14.69,0.2,,N542
41,42,11,a,21.044999999999998,-23.48544444444444,53.9,48.5,SBbc,6,,5504,33,0,13.65,0,91.9,12.37,0,107.3,1.22,13.21,12.97,0.2,,
42,43,11,b,21.04445833333333,-23.52494444444444,15.6,11.2,SBc,7,,13295,86,0,15.93,0,26.5,14.75,0,28.5,1.15,15.62,15.3,0.2,,
43,44,11,c,21.02433333333333,-23.45305555555555,11.6,5.8,Scd,8,,12904,61,0,17.26,0,17.8,15.99,0,19.9,1.2,17.01,16.56,0.1,,
44,45,11,d,21.093624999999996,-23.48055555555555,9.6,7.6,SB0,1,,9686,61,0,16.86,0,18.3,15.37,0,24.4,1.39,16.8,16.55,0.1,,
45,46,12,a,21.257416666666664,-4.9417222222222215,22.9,15.9,S0,1,m,14407,53,0,15.25,0,37.8,13.37,0,61.4,1.71,15.09,14.82,0.1,-21.0,
46,47,12,b,21.261374999999997,-4.911027777777777,18.7,11.6,SB0,1,m,14956,38,0,16.82,0,19.6,14.96,0,26.5,1.76,16.58,16.29,0.2,-19.6,
47,48,12,c,21.273749999999996,-4.920166666666666,12.0,5.4,S0,1,,14569,66,1,17.82,0,9.5,16.01,0,13.4,1.74,17.64,17.3,0.1,-18.6,
48,49,12,d,21.27275,-4.927555555555555,14.5,8.3,Sbc,6,,14241,62,0,18.16,0,12.8,16.14,0,21.7,1.74,17.61,17.21,0.2,-18.6,
49,50,12,e,21.23420833333333,-4.936388888888888,6.8,4.6,S0,1,,14469,62,0,18.25,0,9.1,16.51,0,11.5,1.68,18.25,17.98,0.1,,
50,51,13,a,22.460499999999996,-8.116944444444444,29.1,11.3,SBab,4,,12469,42,0,15.69,1,34.8,13.72,1,55.8,1.8,15.14,14.61,0.2,-20.9,
51,52,13,b,22.468249999999998,-8.130805555555554,19.9,18.0,E0,0,m,12100,101,0,15.97,1,33.7,13.86,1,57.3,1.8,15.45,15.25,0.2,-20.2,
52,53,13,c,22.471916666666665,-8.137333333333332,10.8,5.8,S0,1,m,12240,105,0,16.96,1,20.2,15.0,1,31.6,1.71,16.55,16.24,0.2,-19.2,
53,54,13,d,22.455166666666663,-8.153777777777776,6.8,4.8,S0,1,,12209,107,0,17.69,0,10.5,15.99,0,13.5,1.64,17.73,17.47,0.1,-18.0,
54,55,13,e,22.483583333333332,-8.126999999999999,9.1,5.0,S0,1,,12593,61,0,17.82,0,13.3,15.76,0,28.3,1.61,17.58,17.28,0.1,-18.2,
55,56,14,a,29.33429166666666,-7.30111111111111,26.8,11.6,Sb,5,m,5929,35,0,15.67,2,32.0,13.67,2,49.8,1.86,15.26,14.77,0.2,,
