,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
124,125,27,c,64.26145833333332,-11.842861111111109,11.1,8.0,Sa,3,,26352,62,0,17.5,0,16.0,15.47,0,23.6,1.89,17.26,16.78,0.1,-20.4,
125,126,27,d,64.22604166666666,-11.811277777777777,8.3,4.5,S0a,2,,26256,62,0,18.02,0,12.2,16.14,0,17.5,1.74,17.8,17.25,0.1,-19.9,
126,127,27,e,64.25162499999999,-11.830916666666665,2.8,2.8,S0,1,,26044,115,0,19.22,0,8.0,17.18,0,11.1,1.9,18.4,18.0,0.5,-19.1,
127,128,27,f,64.23779166666665,-11.813527777777777,5.0,3.9,S0,1,m,26100,134,2,19.46,0,7.2,17.1,0,14.5,1.86,18.5,18.1,0.7,-19.0,
128,129,28,a,66.23349999999999,-10.417138888888887,25.7,5.7,Sb,5,m,11441,26,0,16.31,0,25.8,14.91,0,31.2,1.33,16.24,15.33,0.1,,
129,130,28,b,66.23949999999999,-10.437083333333332,21.4,11.1,E5,0,,11489,23,0,16.24,0,27.0,15.1,0,27.7,1.19,15.7,15.31,0.1,,
130,131,28,c,66.23195833333332,-10.42886111111111,10.8,6.5,S0,1,m,11290,26,0,16.67,0,17.3,15.35,0,21.2,1.26,16.24,15.76,0.1,,
131,132,28,d,66.23604166666665,-10.436583333333331,5.8,5.8,Sdm,10,,30205,63,0,18.42,0,13.9,16.76,0,18.0,1.15,17.8,17.4,0.7,,
132,133,29,a,68.19387499999999,-30.647249999999996,9.4,7.0,cI,13,,13328,46,0,15.24,2,32.7,15.16,2,21.9,0.67,14.84,14.49,0.2,,
133,134,29,b,68.19920833333332,-30.64583333333333,10.0,5.8,S0,1,,30824,64,0,18.66,0,14.1,16.77,2,16.9,1.91,17.5,17.0,0.5,,
134,135,29,c,68.20291666666665,-30.644138888888886,8.2,6.2,E2,0,,31669,64,0,18.25,0,12.0,16.67,0,18.9,1.51,17.75,17.4,0.2,,
135,136,29,d,68.21020833333333,-30.64583333333333,5.0,5.0,SB0,1,,31714,63,0,18.9,0,9.4,17.36,0,12.2,1.48,18.7,18.35,0.2,,
136,137,30,a,68.44991666666665,-2.9321388888888884,55.5,40.5,SB-,3,,4697,20,0,13.79,2,87.8,11.29,2,170.9,2.11,13.41,12.87,0.2,-20.5,
137,138,30,b,68.49883333333332,-2.967194444444444,36.5,23.5,Sa,3,m,4625,24,0,14.33,0,59.7,12.59,0,82.1,1.63,14.23,13.65,0.1,-19.7,
138,139,30,c,68.46933333333332,-2.9006111111111106,17.3,12.5,SBbc,6,m,4508,38,1,15.87,0,39.3,14.7,0,40.9,1.12,15.6,15.06,0.1,-18.2,
139,140,30,d,68.52529166666666,-2.9435277777777773,15.4,10.2,S0,1,m,4666,49,0,16.76,0,22.9,15.05,0,32.8,1.53,16.19,15.69,0.1,-17.7,
140,141,31,a,74.79108333333332,-4.331055555555555,32.3,19.9,Sdm,10,m,4042,44,0,15.62,2,33.6,14.43,2,40.2,1.13,15.52,14.83,0.2,,N1741
141,142,31,b,74.77720833333332,-4.335666666666666,26.1,13.7,Sm,11,m,4171,43,0,15.35,2,31.5,14.73,2,30.2,0.7,15.09,14.31,0.2,,
142,143,31,c,74.78712499999999,-4.329305555555555,18.3,7.0,Im,12,m,4068,34,0,13.44,2,74.5,12.76,2,74.1,0.82,13.4,12.5,0.5,,Mk1089
143,144,31,d,74.78558333333332,-4.328388888888888,5.4,4.5,Sbc,6,,26900,65,0,18.53,0,10.6,17.06,0,13.2,1.34,17.86,17.27,0.1,,
144,145,32,a,74.87241666666665,-15.52022222222222,18.9,15.3,E2,0,,12547,38,0,14.72,4,62.5,13.23,2,73.5,1.44,14.3,13.8,0.7,-21.7,
145,146,32,b,74.85091666666666,-15.469888888888887,16.1,6.7,SB0,1,,12125,57,0,16.07,0,33.6,14.56,0,36.5,1.47,15.91,15.28,0.1,-20.2,
146,147,32,c,74.88654166666666,-15.501944444444442,13.7,8.7,S0a,2,,11984,49,1,17.12,2,20.9,15.23,4,28.5,1.73,16.6,16.0,0.7,-19.4,
147,148,32,d,74.87324999999998,-15.502166666666664,13.7,7.3,S0,1,,12313,52,1,17.59,4,12.3,15.76,2,16.7,1.76,17.33,16.74,0.2,-18.7,
148,149,33,a,76.97120833333332,17.957638888888887,11.1,10.1,E1,0,m,7570,41,0,16.89,4,21.8,13.69,1,67.9,2.34,16.15,15.35,0.2,,
149,150,33,b,76.96970833333333,17.968527777777776,15.9,10.0,E4,0,m,8006,21,0,16.94,4,19.5,13.69,1,70.3,2.31,16.21,15.41,0.2,,
150,151,33,c,76.95954166666665,17.95847222222222,23.3,6.7,Sd,9,m,7823,47,1,18.06,4,18.7,14.85,1,55.3,2.32,17.7,16.4,0.7,,
151,152,33,d,76.99441666666665,17.971999999999998,7.2,7.2,E0,0,,7767,37,0,18.42,4,8.6,15.37,4,27.9,2.2,17.53,16.73,0.2,,
152,153,34,a,79.76879166666666,6.640972222222222,19.6,16.1,E2,0,m,8997,31,0,14.89,4,61.2,12.23,2,130.3,2.11,14.9,14.2,0.5,,N1875
153,154,34,b,79.78537499999999,6.628777777777777,8.5,3.7,Sd,9,m,9620,40,0,17.41,4,22.2,14.77,2,45.0,2.11,17.6,16.56,0.2,,
154,155,34,c,79.78145833333332,6.634083333333332,11.2,5.8,SBd,9,m,9392,40,0,17.1,4,24.6,15.15,2,41.8,1.58,17.26,16.28,0.2,,
155,156,34,d,79.77637499999999,6.635805555555555,4.5,3.0,S0,1,,8817,66,1,18.29,4,13.2,15.64,2,28.5,2.08,18.4,17.57,0.2,,
156,157,35,a,130.49029166666665,44.70291666666666,14.4,6.1,S0,1,m,15919,38,0,16.24,1,24.7,14.46,1,34.7,1.69,16.03,15.56,0.2,-20.5,
157,158,35,b,130.48783333333333,44.69138888888888,15.8,13.7,E1,0,,16338,32,0,15.8,1,35.2,14.45,1,39.1,1.36,15.45,15.13,0.2,-21.0,
158,159,35,c,130.47870833333332,44.70991666666666,10.4,9.1,E1,0,,16357,39,0,16.36,1,23.3,14.05,1,51.7,1.91,16.01,15.69,0.2,-20.4,
159,160,35,d,130.48795833333332,44.72194444444444,11.6,5.0,Sb,5,,15798,40,0,17.13,4,19.5,16.18,4,39.4,1.89,17.42,16.81,0.2,-19.2,
160,161,35,e,130.48816666666664,44.68566666666666,5.9,3.5,S0,1,,16773,57,0,17.72,1,12.7,16.04,1,17.2,1.61,17.46,17.05,0.2,-19.1,
161,162,35,f,130.48879166666666,44.71555555555555,4.1,3.7,E1,0,,16330,62,0,18.71,4,9.9,16.42,4,24.8,1.86,18.44,18.12,0.2,-18.0,
162,163,36,a,136.64925,15.999444444444443,38.0,17.5,Sb,5,,3808,29,0,15.14,2,35.7,13.53,2,51.7,1.5,15.04,14.5,0.2,,I528 Mk1225 U4811
163,164,36,b,136.66562499999998,16.008555555555553,14.3,5.0,Sc,7,,6333,41,0,16.86,2,15.7,15.61,2,17.7,1.21,16.61,15.98,0.2,,
164,165,36,c,136.64004166666666,16.00933333333333,9.2,6.5,Scd,8,,8635,45,0,17.61,2,13.8,16.37,2,16.6,1.16,17.25,16.86,0.2,,
165,166,36,d,136.64820833333332,15.982555555555553,15.1,4.1,Sbc,6,,15668,62,0,17.85,2,13.4,16.23,2,17.4,1.51,17.8,17.08,0.2,,
166,167,37,a,137.66591666666665,30.19941666666666,51.9,8.6,E7,0,m,6745,20,0,13.92,1,67.0,12.05,1,94.5,1.79,13.23,12.97,0.2,-21.2,N2783 U4859
167,168,37,b,137.63733333333332,30.206666666666663,48.4,28.1,Sbc,6,m,6741,34,0,15.51,1,40.8,13.33,1,57.2,1.99,14.95,14.5,0.2,-19.7,U4856
168,169,37,c,137.656625,30.206499999999995,11.9,8.7,S0a,2,m,7357,41,0,16.51,1,24.2,14.44,1,38.4,1.76,15.93,15.57,0.2,-18.8,
169,170,37,d,137.6424583333333,30.22133333333333,12.0,9.5,SBdm,10,m,6207,50,1,16.41,0,26.1,15.87,0,23.8,0.51,16.21,15.87,0.2,-18.3,
170,171,37,e,137.64308333333332,30.246666666666663,9.1,9.1,E0,0,m,6363,20,0,17.01,0,18.7,15.97,0,23.8,1.02,16.47,16.21,0.1,,
171,172,38,a,141.2158333333333,12.487249999999998,22.1,8.6,Sbc,6,m,8760,75,0,16.13,0,27.4,14.53,0,31.6,1.55,15.83,15.25,0.1,,
172,173,38,b,141.2530833333333,12.505333333333331,30.0,17.6,SBd,9,m,8739,42,0,15.43,1,38.4,13.87,1,53.2,1.39,15.2,14.76,0.2,,U5044a
173,174,38,c,141.2568333333333,12.506055555555553,21.8,9.3,Im,12,m,8770,89,0,16.09,1,33.4,14.62,1,32.9,1.52,16.01,15.39,0.2,,U5044b
174,175,38,d,141.21425,12.519277777777775,13.1,5.5,SBa,3,,24282,62,0,17.3,0,17.1,15.53,0,21.5,1.69,17.15,16.6,0.2,,
175,176,39,a,141.7288333333333,-1.1261666666666665,10.5,8.2,Sb,5,,21119,52,0,17.42,1,18.7,15.74,1,20.5,1.76,16.94,16.58,0.2,-20.1,
176,177,39,b,141.73254166666663,-1.1299444444444442,7.9,5.6,S0,1,,21176,61,1,17.63,1,14.7,15.95,1,17.5,1.65,17.53,17.2,0.2,-19.5,
177,178,39,c,141.73641666666666,-1.1331666666666664,7.9,5.5,Sc,7,,20667,35,0,17.57,0,14.0,16.18,0,16.3,1.32,17.34,16.94,0.1,-19.7,
178,179,39,d,141.72662499999998,-1.120111111111111,7.0,4.7,S0,1,,21048,37,0,17.87,0,12.3,16.17,0,15.0,1.65,17.66,17.32,0.1,-19.3,
179,180,40,a,144.09591666666665,-4.622638888888888,32.9,24.3,E3,0,m,6628,27,0,14.09,1,65.3,12.18,1,94.1,1.75,13.7,13.44,0.2,-20.7,
180,181,40,b,144.10229166666664,-4.639666666666666,18.7,14.6,S0,1,m,6842,27,0,15.19,1,39.5,13.24,1,56.7,1.84,14.89,14.58,0.2,-19.6,
181,182,40,c,144.0945833333333,-4.632972222222222,36.9,9.6,Sbc,6,m,6890,21,0,15.82,1,36.5,13.66,1,58.2,2.0,15.88,15.15,0.2,-19.0,
182,183,40,d,144.10524999999998,-4.610944444444444,23.9,11.0,SBa,3,m,6492,21,0,15.2,1,41.0,13.54,1,53.8,1.56,15.06,14.53,0.2,-19.5,
183,184,40,e,144.1039583333333,-4.631333333333333,17.8,6.2,Sc,7,m,6625,49,0,17.36,1,17.8,15.41,1,27.4,1.84,17.32,16.69,0.2,,
184,185,41,a,148.61458333333331,45.46813888888888,35.2,9.6,Sab,4,,3751,27,0,14.7,0,37.7,13.16,0,46.4,1.49,14.59,13.88,0.1,,U5345
185,186,41,b,148.63616666666664,45.49733333333333,32.6,10.3,Sab,4,,7241,24,0,15.44,0,37.3,13.91,0,52.2,1.38,15.11,14.45,0.1,,U5346
186,187,41,c,148.58012499999998,45.47691666666666,16.9,7.9,Sb,5,,9717,40,0,16.63,0,20.2,15.31,0,23.4,1.28,16.36,15.84,0.1,,
187,188,41,d,148.67704166666664,45.46708333333333,8.3,4.7,S0,1,,4431,67,0,18.21,0,11.0,16.41,0,14.1,1.71,18.13,17.77,0.2,,
188,189,42,a,149.467875,-19.39597222222222,97.1,69.2,E3,0,m,3625,32,0,12.34,1,135.4,10.31,1,210.3,1.56,11.98,11.69,0.2,,N3091
189,190,42,b,149.54741666666663,-19.42133333333333,27.2,26.3,SB0,1,,4198,28,0,14.52,0,59.1,13.03,0,64.0,1.47,14.48,14.18,0.2,,
190,191,42,c,149.45183333333333,-19.381749999999997,21.8,17.9,E2,0,,4005,31,0,14.56,1,41.2,12.86,1,51.8,1.74,14.21,13.92,0.2,,
191,192,42,d,149.46291666666664,-19.432166666666664,13.3,10.7,E2,0,,4076,48,0,16.54,0,19.8,14.73,0,27.4,1.72,16.13,15.84,0.2,,
